Age,P05,P10,P25,P50,P75,P90,P95
18.5930,1253.7089,1257.7585,1264.5052,1271.9602,1279.4819,1286.4058,1290.6164
19.0955,1253.4878,1257.6044,1264.4626,1272.0407,1279.6866,1286.7245,1291.0045
19.5980,1253.2675,1257.4511,1264.4208,1272.1220,1279.8918,1287.0438,1291.3930
20.1005,1253.0481,1257.2988,1264.3799,1272.2040,1280.0977,1287.3635,1291.7818
20.6030,1252.8296,1257.1471,1264.3396,1272.2866,1280.3040,1287.6834,1292.1706
21.1055,1252.6115,1256.9960,1264.2998,1272.3695,1280.5104,1288.0033,1292.5594
21.6080,1252.3937,1256.8451,1264.2602,1272.4526,1280.7168,1288.3229,1292.9478
22.1106,1252.1760,1256.6943,1264.2206,1272.5355,1280.9229,1288.6421,1293.3356
22.6131,1251.9581,1256.5433,1264.1807,1272.6181,1281.1286,1288.9607,1293.7227
23.1156,1251.7398,1256.3918,1264.1404,1272.7001,1281.3336,1289.2785,1294.1088
23.6181,1251.5207,1256.2397,1264.0994,1272.7813,1281.5377,1289.5952,1294.4938
24.1206,1251.3007,1256.0866,1264.0574,1272.8616,1281.7408,1289.9107,1294.8774
24.6231,1251.0794,1255.9322,1264.0142,1272.9407,1281.9425,1290.2249,1295.2597
25.1256,1250.8565,1255.7764,1263.9695,1273.0183,1282.1428,1290.5374,1295.6402
25.6281,1250.6316,1255.6186,1263.9230,1273.0941,1282.3412,1290.8481,1296.0189
26.1307,1250.4044,1255.4585,1263.8744,1273.1677,1282.5376,1291.1566,1296.3953
26.6332,1250.1745,1255.2958,1263.8231,1273.2389,1282.7315,1291.4627,1296.7693
27.1357,1249.9414,1255.1300,1263.7690,1273.3074,1282.9226,1291.7661,1297.1405
27.6382,1249.7046,1254.9608,1263.7116,1273.3727,1283.1108,1292.0666,1297.5088
28.1407,1249.4639,1254.7877,1263.6506,1273.4345,1283.2957,1292.3638,1297.8739
28.6432,1249.2187,1254.6103,1263.5855,1273.4925,1283.4769,1292.6575,1298.2356
29.1457,1248.9686,1254.4283,1263.5160,1273.5465,1283.6543,1292.9475,1298.5937
29.6482,1248.7132,1254.2411,1263.4417,1273.5960,1283.8274,1293.2335,1298.9479
30.1508,1248.4521,1254.0484,1263.3624,1273.6407,1283.9962,1293.5154,1299.2981
30.6533,1248.1854,1253.8504,1263.2780,1273.6807,1284.1605,1293.7930,1299.6440
31.1558,1247.9130,1253.6469,1263.1884,1273.7158,1284.3202,1294.0662,1299.9857
31.6583,1247.6350,1253.4380,1263.0938,1273.7461,1284.4752,1294.3349,1300.3230
32.1608,1247.3517,1253.2238,1262.9940,1273.7716,1284.6255,1294.5990,1300.6556
32.6633,1247.0629,1253.0044,1262.8892,1273.7921,1284.7711,1294.8583,1300.9835
33.1658,1246.7688,1252.7798,1262.7794,1273.8077,1284.9117,1295.1127,1301.3066
33.6683,1246.4696,1252.5501,1262.6645,1273.8183,1285.0474,1295.3622,1301.6247
34.1709,1246.1652,1252.3153,1262.5446,1273.8239,1285.1781,1295.6066,1301.9376
34.6734,1245.8557,1252.0754,1262.4197,1273.8245,1285.3037,1295.8458,1302.2452
35.1759,1245.5414,1251.8307,1262.2899,1273.8200,1285.4241,1296.0797,1302.5474
35.6784,1245.2223,1251.5812,1262.1552,1273.8106,1285.5393,1296.3083,1302.8442
36.1809,1244.8988,1251.3272,1262.0159,1273.7964,1285.6496,1296.5315,1303.1355
36.6834,1244.5710,1251.0688,1261.8720,1273.7774,1285.7548,1296.7496,1303.4213
37.1859,1244.2392,1250.8064,1261.7239,1273.7539,1285.8552,1296.9624,1303.7017
37.6884,1243.9036,1250.5400,1261.5716,1273.7258,1285.9507,1297.1699,1303.9767
38.1910,1243.5646,1250.2700,1261.4153,1273.6935,1286.0414,1297.3724,1304.2463
38.6935,1243.2223,1249.9965,1261.2552,1273.6569,1286.1275,1297.5696,1304.5104
39.1960,1242.8769,1249.7197,1261.0915,1273.6161,1286.2089,1297.7618,1304.7690
39.6985,1242.5288,1249.4400,1260.9242,1273.5714,1286.2858,1297.9488,1305.0222
40.2010,1242.1781,1249.1574,1260.7537,1273.5228,1286.3581,1298.1307,1305.2700
40.7035,1241.8250,1248.8720,1260.5799,1273.4703,1286.4260,1298.3076,1305.5123
41.2060,1241.4696,1248.5840,1260.4030,1273.4140,1286.4895,1298.4795,1305.7492
41.7085,1241.1118,1248.2934,1260.2228,1273.3540,1286.5485,1298.6463,1305.9808
42.2111,1240.7518,1248.0002,1260.0396,1273.2903,1286.6032,1298.8082,1306.2070
42.7136,1240.3895,1247.7045,1259.8533,1273.2228,1286.6536,1298.9651,1306.4278
43.2161,1240.0250,1247.4062,1259.6639,1273.1517,1286.6997,1299.1172,1306.6434
43.7186,1239.6585,1247.1055,1259.4715,1273.0770,1286.7415,1299.2643,1306.8538
44.2211,1239.2898,1246.8024,1259.2762,1272.9987,1286.7791,1299.4067,1307.0590
44.7236,1238.9190,1246.4969,1259.0779,1272.9168,1286.8125,1299.5443,1307.2591
45.2261,1238.5462,1246.1890,1258.8767,1272.8314,1286.8417,1299.6772,1307.4541
45.7286,1238.1714,1245.8788,1258.6726,1272.7425,1286.8668,1299.8052,1307.6439
46.2312,1237.7947,1245.5662,1258.4655,1272.6499,1286.8876,1299.9285,1307.8286
46.7337,1237.4160,1245.2514,1258.2556,1272.5538,1286.9041,1300.0468,1308.0078
47.2362,1237.0355,1244.9344,1258.0428,1272.4541,1286.9163,1300.1600,1308.1817
47.7387,1236.6533,1244.6151,1257.8270,1272.3506,1286.9240,1300.2682,1308.3500
48.2412,1236.2692,1244.2936,1257.6084,1272.2435,1286.9272,1300.3711,1308.5127
48.7437,1235.8834,1243.9700,1257.3868,1272.1326,1286.9259,1300.4687,1308.6697
49.2462,1235.4960,1243.6442,1257.1622,1272.0179,1286.9199,1300.5610,1308.8208
49.7487,1235.1070,1243.3163,1256.9348,1271.8995,1286.9093,1300.6478,1308.9660
50.2513,1234.7164,1242.9863,1256.7044,1271.7771,1286.8939,1300.7291,1309.1052
50.7538,1234.3242,1242.6542,1256.4711,1271.6510,1286.8738,1300.8048,1309.2384
51.2563,1233.9303,1242.3200,1256.2348,1271.5210,1286.8491,1300.8752,1309.3658
